Geneid,AK079M,AK083M,AK095M,AK096M
ENSG00000188549,398,279,481,774
ENSG00000233041,0,0,0,0
ENSG00000140323,45,77,129.5,79
ENSG00000128944,135,504.5,598,332.5
ENSG00000128928,123,273,376,193
ENSG00000140320,292,631,985,772
ENSG00000169105,88,315,552,270
ENSG00000128891,55.5,97,115,102.5
ENSG00000166133,415,340,504,852
ENSG00000137812,156,1416,1723,311
ENSG00000279084,0,0,0,0
ENSG00000051180,50,259,296,159
ENSG00000137824,138,382,628,284
ENSG00000137880,0,2,11,9
ENSG00000104129,59,162,227.5,117
ENSG00000188277,0,0,0,0
ENSG00000166140,182,349,494.5,335
ENSG00000166143,0,0,0,0
ENSG00000166145,3,7,24,10
ENSG00000104140,46,51,89,142
ENSG00000104142,680,1069.5,1651,1172
ENSG00000128917,37,12,12,16.17
ENSG00000128965,46,39,48,23
ENSG00000128908,651,1319.5,1432,935
ENSG00000178997,1,2,4,1
ENSG00000187446,91,1633.5,1728,161
ENSG00000104147,28,198.5,262,101
ENSG00000137804,103,1288.5,1419,187
ENSG00000137806,66,219,233,97
ENSG00000137815,172,706,785.5,297
ENSG00000137825,9,29,66,28
ENSG00000062524,12,0,6,9
ENSG00000103932,524,905.5,1449,893
ENSG00000092445,109,649,816,241.5
ENSG00000174197,648,1699,1916,1090
ENSG00000137802,209,358,506,429.67
ENSG00000279937,0,0,0,0
ENSG00000243789,19,58.75,84.61,31
ENSG00000168970,54,138.25,214.11,108
ENSG00000243708,35,79.5,129.61,77
ENSG00000137877,92,31,63,131
ENSG00000103966,264,804,1120.33,516
ENSG00000188089,0,0,0,2
ENSG00000159337,2,0,0,0
ENSG00000168907,0,0,0,0
ENSG00000166887,135,791,982,278
ENSG00000103978,288,913.67,1138,479
ENSG00000214013,41,164,184,71
ENSG00000092529,2,6,11,3
ENSG00000103994,295,1133.5,1307.5,484
ENSG00000092531,37,236,233.5,45
ENSG00000180979,67,179,203,134
ENSG00000137814,72,284,403,169
ENSG00000159433,228,190,353,437
ENSG00000140326,393,614,1033,772.2
ENSG00000128881,35.62,199.24,227.44,104.04
ENSG00000159459,149,570,628,237
ENSG00000137842,71,210,251,82
ENSG00000166946,125,438,623,248
ENSG00000166947,0,0,0,1
ENSG00000104055,0,0,0,0
ENSG00000159495,0,0,0,0
ENSG00000168806,301,284,460,519.5
ENSG00000168803,38,58,89,45
ENSG00000140265,388,491,615.5,707
ENSG00000137822,89,244,326,165
ENSG00000067369,454,2022,2259,730
ENSG00000166963,41,236,324,54
ENSG00000168781,75.83,244.12,400.83,131.48
ENSG00000237289,3.5,82,106,12.5
ENSG00000242866,0,0,3.5,0
ENSG00000166762,10.5,9.64,19.5,5.5
ENSG00000223572,7,92,116,17.5
ENSG00000167004,353.5,6321.67,7437.83,774.33
ENSG00000128886,4,30,31,12
ENSG00000262560,1,0,0,1.5
ENSG00000140264,871.33,3575.08,5423.5,2270.17
ENSG00000279808,0,0,0,0
ENSG00000184716,2,2,3,10.5
ENSG00000242028,99,177.5,168.5,108.5
ENSG00000140259,90,332,366,200
ENSG00000092470,64,776,684,178
ENSG00000171877,34,120,328,91
ENSG00000166734,94.5,1516,2034,248
ENSG00000137770,140,661.5,667,247.5
ENSG00000104131,425.5,1288.5,1502.67,683
ENSG00000104133,398,940,1141,508
ENSG00000229474,0,0,0,0
ENSG00000166710,350,1936,2422.5,641
ENSG00000185880,2,2,4,0
ENSG00000167014,0,0,0,0
ENSG00000140263,90,863.17,1083.83,176.5
ENSG00000140279,0,3,7,2
ENSG00000140274,0,0,0,0
ENSG00000140254,0,1,6,0
ENSG00000137857,0,1,2,0
ENSG00000138606,6,17,11,6
ENSG00000137860,0,2,0,0
ENSG00000171766,9,126,120,29
ENSG00000171763,408,575,635,674
ENSG00000166920,48,37,48,39
ENSG00000104154,34,39,89.5,36
ENSG00000104164,48,193,240.19,108.07
ENSG00000260170,47.5,394.75,500.42,70.97
ENSG00000137767,119.5,911.75,1119.42,194.97
ENSG00000259752,0,0,0.25,0
ENSG00000137872,0,0,0,0
ENSG00000188467,0,0,0,0
ENSG00000104177,116.5,516.5,453,100
ENSG00000233932,0,0,0,2
ENSG00000074803,0,0,0,0
ENSG00000128951,414,1770.67,2313,942.67
ENSG00000166147,71,210,474.67,101
ENSG00000103995,117,617,658.5,247
ENSG00000185634,52,12,44,70
ENSG00000255302,427,1161,1762,696
ENSG00000138593,273,652,825,413
ENSG00000166200,342,1230,1562,509.5
ENSG00000156958,95,472,720,215
ENSG00000166262,1.25,7,8,5
ENSG00000140285,1.4,0,0.4,2.2
ENSG00000104047,64,135,207,99
ENSG00000104043,5,13,36,10
ENSG00000140284,139,1192,2149,284.5
ENSG00000140287,1,2,2,2
ENSG00000104064,198,772,851,427.5
ENSG00000138592,502,2061,2475.33,873.5
ENSG00000170236,1,0,1,6
ENSG00000092439,783,2343,3022.5,1349
ENSG00000138600,251,2234,2919,362.5
ENSG00000081014,198,794,857,328
ENSG00000183578,4,11,25,12
ENSG00000137869,0,2,0,0
ENSG00000186417,0,0,0,0
ENSG00000104093,417,1665,1998,767.5
ENSG00000104112,0,0,0,0
ENSG00000140280,108,276,346,232
ENSG00000128872,4,49,74,38
ENSG00000138594,447,3501.5,4408.75,940
ENSG00000166477,283,1184.5,1287.5,494.5
ENSG00000069956,780.17,2461.17,3428.23,1450.32
ENSG00000137875,4,0,3,5
ENSG00000069966,84,671,1061,223
ENSG00000128833,59,683,876.5,132
ENSG00000197535,447,2111.5,2738,791
ENSG00000128989,352.5,894.5,1092.5,648.5
ENSG00000047346,123,373,503,218
ENSG00000169856,5,13,7,6
ENSG00000166415,69,526,624,109
ENSG00000137766,0,0,0,0
ENSG00000137876,448.33,1750.43,1923.42,788
ENSG00000069974,8,110,144,49
ENSG00000225973,37,37,29,51
ENSG00000069943,52,298,309,80
ENSG00000260916,88,1235,1627,153
ENSG00000261652,5,27,30,6
ENSG00000256061,49,70,98,45
ENSG00000171016,177,312.5,359,311
ENSG00000166450,315,512,494,518.33
ENSG00000069869,1952,3826,4329.5,1966
ENSG00000181827,443,1369.11,1412,878
ENSG00000151575,34,89,103,45
ENSG00000138587,4,38,37,3
ENSG00000137871,159,456,540,231
ENSG00000140262,263,1654.5,2262.5,683
ENSG00000128849,21,128,120,15
ENSG00000137878,120.5,303.56,403.92,193.94
ENSG00000263155,1,7.39,15.92,5.11
ENSG00000255529,209,461.06,610.42,329.94
ENSG00000128918,0,0,0.5,0
ENSG00000103569,0,0,0,0
ENSG00000166035,0,2,0,0
ENSG00000137845,388,3465.33,5145.33,1037.5
ENSG00000128923,225,195,403,494
ENSG00000157450,648.5,1440.25,1707.5,1068
ENSG00000137776,785,1800.5,1917.5,1240.5
ENSG00000157456,242,2576.67,2711.25,549
ENSG00000157483,746,6809.5,9485.67,2024
ENSG00000171989,0,0,0,0
ENSG00000157470,11,260,275.5,21
ENSG00000140297,913.5,3179,3525.5,1909
ENSG00000140307,207,919.33,942,412.83
ENSG00000140299,565,1943,2160,824
ENSG00000171956,0,0,0,2
ENSG00000182718,5238.9,36073.8,45688.19,10854.06
ENSG00000128915,530.5,1997.67,2100.25,836.17
ENSG00000069667,6,3,5,2
ENSG00000129003,701,2582.5,4022,1158
ENSG00000198535,11,0,2,15
ENSG00000205502,3,0,6,11
ENSG00000171914,38,578,1006,131
ENSG00000140416,1679,5125,7529,2706
ENSG00000103642,240,577,889,353
ENSG00000185088,191,1239.5,1166,370
ENSG00000166128,36,224,300,98
ENSG00000138613,22,154,170,63
ENSG00000074410,259,5234,4561.33,549
ENSG00000140455,831,2122,2398.25,1184.33
ENSG00000197361,9,5,18,13
ENSG00000103657,472,1299,1933,1025
ENSG00000035664,5,36,59,10
ENSG00000166797,154,740,861,264
ENSG00000028528,411,1669,2219,901
ENSG00000157734,2,22,23,11
ENSG00000166794,1068,4565,5580.5,2142.33
ENSG00000169118,107,398.83,392.5,209
ENSG00000259316,107,331.83,322.5,177
ENSG00000166803,102,1552,1860.5,364
ENSG00000103671,206.75,507,669,335.5
ENSG00000180357,263,1813,2492,793
ENSG00000180304,131,663,867,346
ENSG00000166831,19,122,174,79
ENSG00000140451,207,968,1422,609
ENSG00000241839,71,92,162.25,115
ENSG00000249240,27.5,41.5,44.75,37
ENSG00000166839,2.83,34.5,69,15
ENSG00000090487,218,1823.67,2085.17,429
ENSG00000103707,267,597,881,512
ENSG00000186198,13,17,49,31
ENSG00000103710,0,0,0,0
ENSG00000234438,6,0,0,3
ENSG00000246922,49,25,43,82
ENSG00000090470,614,774,1115,1279.5
ENSG00000166855,502,1232,1562,869
ENSG00000138615,0,2,0,0
ENSG00000138617,73,162,211,143
ENSG00000174498,5,8,2,5
ENSG00000103742,62,148,233,63.5
ENSG00000074603,546,1277.33,1477.5,823.5
ENSG00000074696,208,2513,3196.17,485
ENSG00000138614,384,1009,1277,784.5
ENSG00000074621,54,127,174,101
ENSG00000174485,161.5,912.5,981,277
ENSG00000103769,295,2122.5,2409.33,761
ENSG00000157890,0,26,24,2
ENSG00000166938,588,1835,2197,980
ENSG00000075131,148,536.5,481.67,279
ENSG00000169032,234,1681.83,2235,559.5
ENSG00000174446,122,149,193,139
ENSG00000174444,6287.72,36511.14,41501.14,12001.45
ENSG00000174442,235,1404,1596,402
ENSG00000188501,0,0,1,0
ENSG00000137834,156,818,1352,563
ENSG00000166949,2391,5957.67,7685.67,3939
ENSG00000103591,292,1419,1835,552
ENSG00000103599,19,67,79,37
ENSG00000189227,209,357,406,402
ENSG00000137764,70,420,512,108
ENSG00000188779,2,2,12,2
ENSG00000033800,248,1129.5,1155,544
ENSG00000129007,37,113.33,148.17,73
ENSG00000260007,20,114.75,163.5,47.75
ENSG00000128973,175,1165.42,1565.33,450.25
ENSG00000169018,1188,1392,1769,1911
ENSG00000137809,12,41,257,40
ENSG00000103647,7,70,135,19
ENSG00000140350,472.83,2736.83,2953.42,1050.42
ENSG00000258484,0,0,0,0
ENSG00000255346,2,4,2,1
ENSG00000138604,28,510,657,82
ENSG00000137819,192,1940.33,3053.83,522
ENSG00000137807,869,4942.5,5432,1786
ENSG00000137818,3204.08,12861.53,14884.2,7413.07
ENSG00000140332,750,1212,1672,1096
ENSG00000137831,1788,1889,3273.5,2840
ENSG00000166173,186.5,452,765,389
ENSG00000137821,48.5,225,235,64
ENSG00000129028,159,157,193,234
ENSG00000187720,179,1606,2096,303
ENSG00000225362,16,5,11,18
ENSG00000278570,8,15,8,6
ENSG00000066933,560,1366,1872,906
ENSG00000166192,11,27,39,15
ENSG00000175318,1,0,2,10
ENSG00000067225,7010.67,53174.7,67801.21,15835.5
ENSG00000137817,813,1108,1435,1048
ENSG00000273025,1,2,0.92,2.5
ENSG00000260729,86.5,507.83,722.25,152
ENSG00000140488,1,2,0.92,2.5
ENSG00000213614,240.5,1692.17,2259.25,468
ENSG00000187806,0,0,0,0
ENSG00000166233,541.5,1334,1526.5,945
ENSG00000215186,1.5,0.5,0.2,1
ENSG00000175202,0,0,0,0
ENSG00000140463,76,430,473,122
ENSG00000159322,393,1483.5,2089.5,759
ENSG00000067141,163,2483,3080.5,386
ENSG00000138622,21,39,49,20
ENSG00000183324,0,0,0,0
ENSG00000156642,222,2008.33,2953,485
ENSG00000103855,315.5,1538.16,2593.66,781.83
ENSG00000205363,10,6,27,24
ENSG00000167139,0,0,0,0
ENSG00000129038,4,2,4,1
ENSG00000067221,92,143,242,165
ENSG00000140464,288,666,1112,641
ENSG00000159289,0.5,1.17,0.2,0
ENSG00000167178,2,0,6,0
ENSG00000129009,0,0,2,2
ENSG00000137868,136,1193.5,2937.5,407
ENSG00000140481,0,7,10,5
ENSG00000140459,0,0,0,0
ENSG00000138623,293,57,62,344
ENSG00000138629,77,714,999.5,193
ENSG00000179361,394,132.5,200.5,452
ENSG00000179335,638.5,606,782.5,966.5
ENSG00000179151,153,444,565,342
ENSG00000140465,47,32,20,19
ENSG00000140505,0,0,0,0
ENSG00000103653,551,1545,2237,1264
ENSG00000140506,2,0,4,3
ENSG00000213578,1,0,0,2
ENSG00000140474,440,642,1147,708
ENSG00000140497,357,1516,2043.33,680
ENSG00000178802,222,615,697,440
ENSG00000178761,299,361,523,451
ENSG00000178741,400,2908.33,3340.5,1026
ENSG00000178718,219,493,818,1064
ENSG00000198794,22,61,95,18
ENSG00000138621,75,138,128,197
ENSG00000167173,3533.5,2619,3615,8042.5
ENSG00000140478,1.75,1.17,0.3,0
ENSG00000167195,1.25,1.17,0.1,1
ENSG00000140365,240.5,1441.42,2217.58,720.27
ENSG00000140398,31,34,78,81
ENSG00000140400,943,2635.33,4215.08,1986
ENSG00000169375,746.5,2895.17,3347.8,1699.5
ENSG00000169410,192,1293,1798,675
ENSG00000169371,177,586,698,429
ENSG00000177971,1282,1629,2506,3033
ENSG00000173548,230,501,935,654
ENSG00000173546,6.11,0,7,0
ENSG00000182950,0,9,20,15
ENSG00000140367,244,776,981.25,495.5
ENSG00000167196,387,1719,2028.5,733
ENSG00000169752,0,1,0,0
ENSG00000169758,0,2,2,0
ENSG00000140374,355,3742.5,4185.33,597
ENSG00000159556,82,106,127,96
ENSG00000140386,80,211,313,147
ENSG00000117906,187,1647.33,1781,395
ENSG00000140368,0,0,0,4
ENSG00000140391,233,2638,3476,707
ENSG00000173517,79,600,936,247.5
ENSG00000140382,136,576,680.33,266
ENSG00000169783,108,302,488,275
ENSG00000167202,129,596.5,825,287.5
ENSG00000183476,0,0,0,0
ENSG00000136425,14,164,232,42
ENSG00000166411,263,1301,1550,452
ENSG00000103740,0,1,2,1
ENSG00000140403,0,0,0,0
ENSG00000140395,251,1075,1370,379
ENSG00000166426,0,5,6,11
ENSG00000136381,883,3217,4066,1567
ENSG00000188266,18,154.5,107,27
ENSG00000041357,527,3963.67,4208.33,1087.5
ENSG00000169684,81,722,832,253
ENSG00000080644,0,4,16,0
ENSG00000117971,1,0,13,2
ENSG00000136378,84,387.17,668.33,183
ENSG00000185787,966.98,5519.17,6564.6,2110.33
ENSG00000103811,17,248,283,52
ENSG00000058335,10,9,8,5
ENSG00000235711,0,0,0,0
ENSG00000166557,337,1639,2416,706
ENSG00000169330,7,27,51,8
ENSG00000136371,134.48,457.7,552.97,227.47
ENSG00000259332,84.98,353.95,409.22,157.22
ENSG00000180953,119.05,110.85,150.61,118.14
ENSG00000140379,542,181,301.1,443.33
ENSG00000086666,172.5,1034.9,1130,366
ENSG00000103876,38,658,683,101
ENSG00000172379,50,783,1305,202
ENSG00000136379,306,726.5,1278,945
ENSG00000103888,18,63,99,57
ENSG00000117899,316,1047.5,1284,582
ENSG00000140406,1712,885,1458,3494
ENSG00000156206,0,0,0,0
ENSG00000172349,0,0,0,0
ENSG00000172345,27,32,49,34
ENSG00000188869,0,0,0,0
ENSG00000183496,593,432,784,1373
ENSG00000140598,414,1135.83,1596.33,491.83
ENSG00000188659,27.5,16,13.5,24
ENSG00000278662,12.34,24.99,28.86,19.4
ENSG00000197978,11.21,55.42,46.95,28.08
ENSG00000182774,2056.23,8892.74,9119.27,3990.26
ENSG00000260836,312.25,1362.21,1353.25,565.83
ENSG00000214575,36.33,119.08,123.17,41.17
ENSG00000103723,23,2,12,21
ENSG00000186628,0,0,0,0
ENSG00000156232,422.63,486.07,646.2,620.17
ENSG00000103942,43,233,341.5,86
ENSG00000169612,179.17,315.5,367.08,279
ENSG00000169609,142,185,230.5,283.5
ENSG00000064726,752.83,1772,2297,1063
ENSG00000136404,0,2.5,4,0
ENSG00000166503,102,648,776,237
ENSG00000169594,22,2,9,51
ENSG00000140600,0,3,7,0
ENSG00000156218,3,25,6,0
ENSG00000259511,11.14,6.95,11.39,19.48
ENSG00000184206,18.63,14.09,21.05,23.98
ENSG00000176371,182.83,286,397,387
ENSG00000177082,687,815.33,1035,1016
ENSG00000197696,46,192,248,76
ENSG00000140612,385,3317,3990.17,1002.5
ENSG00000166716,1242,1856,2594.5,2424.33
ENSG00000136383,44,6,20,28
ENSG00000156222,1,0,2,2
ENSG00000073417,340,1712,2074,628
ENSG00000170776,2230,3575,5550,4411.33
ENSG00000183655,60,205,392,252
ENSG00000166748,0,0,0,0
ENSG00000140538,145,1469,3542,561.5
ENSG00000259494,337.5,873,1090.5,676
ENSG00000181991,208,762.5,1008,430.5
ENSG00000140543,122,188,203,223
ENSG00000181026,2867,2034,2584,4863.25
ENSG00000172183,162,296,495.5,226
ENSG00000157766,5,2,2,6
ENSG00000140511,435.5,381.5,980,940
ENSG00000140545,1201.5,2339.5,5404,2444.5
ENSG00000140526,210,2272,3320.5,534
ENSG00000140522,0,0,0,0
ENSG00000140525,352,3641.5,3893.5,793
ENSG00000140521,2873,2759,3933.25,4058.5
ENSG00000140519,395,197.67,681.5,403
ENSG00000140534,761.5,2609,3401,1909
ENSG00000166813,90,187,309.5,208
ENSG00000166819,6,6,8,6
ENSG00000166821,48,125,110,64
ENSG00000140527,2,0,8,2
ENSG00000166823,23,55,92,103
ENSG00000188095,0,3,4,2
ENSG00000166825,68,244,599,214
ENSG00000157823,100,486.75,596.08,185.5
ENSG00000250021,56,533.75,692.08,171.25
ENSG00000242498,27,185.5,258.33,75.25
ENSG00000140548,162,334,559,479
ENSG00000182054,62,1087,1543.5,161.33
ENSG00000185033,1959,4534,8143.67,3450.5
ENSG00000185043,1144,2607,3984,2151
ENSG00000183208,92,129,291,170
ENSG00000261147,6,9,3,6
ENSG00000182768,1381.5,2565.58,3174.42,2118
ENSG00000275674,112,255.42,280.75,192
ENSG00000196391,18,25,16,15
ENSG00000140575,1714,9561,13300,2335
ENSG00000140577,279,764.5,1018,635
ENSG00000197299,114,1386,1409.5,279
ENSG00000140564,678,1762,3361,1329
ENSG00000182511,15,21,24,17
ENSG00000196547,578,1155,1821,970
ENSG00000184508,231,362,506.5,404
ENSG00000140553,510,2887.5,3855,1111
ENSG00000166965,355,913,1343,710
ENSG00000198901,655,4021.5,4748.5,1538.5
ENSG00000184056,273,623,757,432
ENSG00000185518,0,0,0,0
ENSG00000176463,74,812,1066,268
ENSG00000140557,0,0,1,2
ENSG00000183643,0,0,0,0
ENSG00000279316,0,0,0,0
ENSG00000185442,14,63,66,38
ENSG00000173575,1257,973.5,1097.17,1276.25
ENSG00000279765,245,248,236.5,220.25
ENSG00000182175,7,3,6,8
ENSG00000140563,0,0,0,0
ENSG00000185551,1117,802,1098,1775.5
ENSG00000185594,0,0,0,0
ENSG00000140450,8,6,8,3
ENSG00000185087,0,0,0,0
ENSG00000140443,2627,7395.5,12459.17,4786
ENSG00000183571,4,0,0,0
ENSG00000182253,430,2418,2631,621
ENSG00000103852,46,232,300,127
ENSG00000168904,22,236,238.5,34
ENSG00000068305,154,455,474,248
ENSG00000183060,75,77,94,120.5
ENSG00000140470,0,2,0,4
ENSG00000154227,0,0,2,2
ENSG00000140471,221,350,425,321
ENSG00000183475,137,203,235,274
ENSG00000279588,0,0,0,0
ENSG00000184254,212,524,650,311
ENSG00000154237,390,2103,3285,1107
ENSG00000131873,713.5,1378.5,1744,1663
ENSG00000131871,483,868,1118,916
ENSG00000131876,499,1113.5,1353,759.17
ENSG00000140479,31.25,486,716,120
ENSG00000184277,317,284,397,585
ENSG00000185418,125,242,374,239
ENSG00000184140,0,0,0,0
ENSG00000182854,0,0,0.2,0
ENSG00000177693,0,0,0,0
ENSG00000274700,0,0,0,0
ENSG00000277278,0,0,0,0
ENSG00000276896,0,0,0,0
ENSG00000273651,0,0,0,0
ENSG00000276485,0,0,0,0
ENSG00000277848,0,0,0,0
ENSG00000277666,0.92,4.23,3.42,0.92
ENSG00000276760,0,0,0,0
ENSG00000275249,0,0,0.33,1.67
ENSG00000274792,0,0,0,0
ENSG00000276856,0,0,0,0
ENSG00000275009,0,0,0,0
ENSG00000278070,0,0,0,0
ENSG00000273686,0,0,0,0
ENSG00000278211,0,0,0,0
ENSG00000274042,0,0,0,0
ENSG00000275049,0,0,0,0
ENSG00000274166,0,0,0,0
ENSG00000273673,0,0,0,0
ENSG00000274320,0,0,0,0
ENSG00000276228,0,0,0,0
ENSG00000278229,0,0,0,0
ENSG00000277445,0,0,0,0
ENSG00000278429,0,0,0,0
ENSG00000274404,0,0,0,0
ENSG00000274439,0,0,0,0
ENSG00000278699,0,0,0,0
ENSG00000278776,0,0,0,0
ENSG00000278178,0,0,0,0
ENSG00000277361,0,0,0,0
ENSG00000276802,0,0,0,0
ENSG00000273716,0,0,0,0
ENSG00000278310,0,0,0,0
ENSG00000277090,0,0,0,0
ENSG00000278186,0,0,0,0
ENSG00000276495,0,0,0,0
ENSG00000273564,0,0,0,0
ENSG00000277401,0,0,0,0
ENSG00000278119,0,0,0,0
ENSG00000276253,0,0,0,0
ENSG00000275917,0,0,0,0
ENSG00000274734,0,0,0,0
ENSG00000276787,0,0,0,0
ENSG00000277086,0,0,0,0
ENSG00000274965,0,0,0,0
ENSG00000275746,0,0,0,0
ENSG00000274542,0,0,0,0
ENSG00000274257,0,0,0,0
ENSG00000275568,0,0,0,0
ENSG00000277614,0,0,0,0
ENSG00000276886,0,0,0,0
ENSG00000278247,0,0,0,0
ENSG00000278508,0,0,0,0
ENSG00000234769,154.89,152.4,210.98,240.71
ENSG00000161980,160,457,462,303
ENSG00000161981,57,534,677,157
ENSG00000007384,496,785.5,1324,880
ENSG00000103152,185,1681,2577.33,743
ENSG00000103148,185,1082,1358,382
ENSG00000130656,0,0,0,3.3
ENSG00000206177,0,0,0,0
ENSG00000188536,39,24,34,59.6
ENSG00000206172,43,29,42.5,78.1
ENSG00000086506,32,87,117,58
ENSG00000007392,521,818.5,1240,817
ENSG00000167930,142,748,1139.08,227.5
ENSG00000269881,97.5,558,874.58,174.5
ENSG00000076344,61,88,167,133
ENSG00000242173,17.5,35,90.83,30
ENSG00000185615,6,15,15,13
ENSG00000103126,1331,1997,2896.75,2944
ENSG00000086504,327,1455,1718.5,608
ENSG00000129925,416,1339,2150.75,962
ENSG00000103202,409.5,3027.17,4097.75,1232.5
ENSG00000242612,87,348.33,481.75,205
ENSG00000090565,156,856.5,1171.5,391
ENSG00000103326,1641.5,2883.5,5122.5,4315
ENSG00000161992,1,2,6,7
ENSG00000007541,607.5,1540.5,2744.83,1270.5
ENSG00000257108,3,2,1,1
ENSG00000197562,110,239,373,273
ENSG00000127578,66,20,25,95
ENSG00000130731,349.67,1145.83,1725.5,925.67
ENSG00000172366,189,433,557,482
ENSG00000102854,18,39,89,41
ENSG00000161996,1059.5,1312,2028.5,1713
ENSG00000140983,1522,2605,3611.17,2931
ENSG00000103269,64,77,98,81
ENSG00000103266,546,1516,2177.5,1275.5
ENSG00000161999,418,1136,1622,708
ENSG00000127580,569,543,790,957
ENSG00000127585,28,40,57,51
ENSG00000103260,424,1864.5,2417,1295
ENSG00000103254,365,720,1194.5,796
ENSG00000162004,382,210,262,646.58
ENSG00000103253,284,308,390.62,501
ENSG00000103245,228,442,735,544
ENSG00000162006,10,1,5,12
ENSG00000007376,366,633,1139,1136.17
ENSG00000127586,676.5,1431,2098,1350
ENSG00000127588,2,0,1,0
ENSG00000167945,4,4,7,4
ENSG00000103227,67,240,377.33,131
ENSG00000005513,50,82,208,153
ENSG00000162009,2,2,2,0
ENSG00000184471,0,0,0,0
ENSG00000196557,319,1319,2544,1271
ENSG00000116176,0,0,0,2
ENSG00000197253,0,0,0,0
ENSG00000172236,0,0,0,0
ENSG00000095917,1,0,0,0
ENSG00000103275,583,2469,2821.23,1128.5
ENSG00000007516,53.12,103,259,89
ENSG00000007520,390,1058,1365.67,1025
ENSG00000090581,180,527,924,360
ENSG00000059145,824.5,1801,2411.5,1862.5
ENSG00000174109,907,467,673,1504
ENSG00000197599,51,43,68,25
ENSG00000103249,512,2422.5,3766.05,1106.33
ENSG00000251692,11,2,4,13
ENSG00000100726,990,1528.5,2600,2168
ENSG00000187535,185,982.5,1380,472
ENSG00000131634,0,0,0,0
ENSG00000007545,634,878.5,1217.5,1450.5
ENSG00000261732,21,21.5,45.5,35
ENSG00000206053,1052,3058,3706.17,1832
ENSG00000138834,1703,1901,3545,3225
ENSG00000103024,149,361,561,405
ENSG00000074071,556,1896.67,2657,1488
ENSG00000197774,383,376,573,709
ENSG00000162032,267,470.25,965,728
ENSG00000095906,436,1303,2011,988
ENSG00000099769,2,6,3,10
ENSG00000063854,185,791,1042,469
ENSG00000180185,385,650,1195,910
ENSG00000162039,40,50,69,29
ENSG00000162040,48,120,159,95.5
ENSG00000198736,46,241,254,116
ENSG00000140986,21,0,0,12
ENSG00000140990,308,1830,1947,682
ENSG00000140988,5896.79,38108.05,47844.18,13286.82
ENSG00000179580,30,6,7,19
ENSG00000183751,971,2185.5,3347.5,1944
ENSG00000196408,1,0,10,10
ENSG00000127554,244,354,399,517
ENSG00000127561,55.33,50,125,113
ENSG00000167962,2301.5,2773.75,4028,4302.5
ENSG00000183971,30,21,29,29
ENSG00000065054,116.5,600,826,363
ENSG00000065057,77,747,895,378
ENSG00000103197,595,2562,4032.5,1439
ENSG00000008710,2533.83,3773.1,6569.67,6257.62
ENSG00000167964,27,143,101,41
ENSG00000131653,341,1901,2719,889
ENSG00000167971,30,82.12,138.12,80.33
ENSG00000167965,289,881,1125.5,535
ENSG00000182685,142,130,230,287
ENSG00000184207,214,890,1073,716
ENSG00000167967,1055,1120,1840,2385.5
ENSG00000167968,129,57,110,184
ENSG00000167969,160,1156,1806.5,548.33
ENSG00000205937,1966.5,5156.17,7042.75,4293.5
ENSG00000279473,10,13.5,41,22
ENSG00000167972,483.5,1444,2518.5,1071.25
ENSG00000162063,539,2165,3525,1565
ENSG00000162062,119,442,696.5,348
ENSG00000162068,4,8,4,2
ENSG00000162065,68,272.11,566.33,261
ENSG00000260272,79,357.39,549.33,205.5
ENSG00000185883,371,1405.89,1721.58,604.83
ENSG00000259784,72,208.11,268.25,147.83
ENSG00000162066,296,438.5,685,748.33
ENSG00000205923,0,2,0,2
ENSG00000140992,216,541,776.5,427.17
ENSG00000167977,320.83,552.5,689,644.38
ENSG00000172382,62,28,30,68
ENSG00000167978,15832.5,19594,22680,19739.5
ENSG00000103363,562.5,2136.17,2878.67,1392.83
ENSG00000103355,2,0,0,0
ENSG00000007038,0,0,2,0
ENSG00000162078,4,1,4,3
ENSG00000005001,17,10,11,35
ENSG00000162076,144,381,587.17,336
ENSG00000059122,294,1357.5,2109,821.75
ENSG00000131650,54,61,65,94
ENSG00000127564,496.5,1737.5,2300,1467.5
ENSG00000162073,286,622,991,970
ENSG00000213937,28,10,9,28
ENSG00000184697,18,9,2,1
ENSG00000006327,6149.83,4408.67,6322,10445.75
ENSG00000103145,290,1277,1651,670
ENSG00000131652,1282,1505.5,2137,1273
ENSG00000162069,1,0,0,0
ENSG00000008516,62,7,25,49
ENSG00000008517,247.5,175.33,486.66,205.17
ENSG00000130182,0,0,2,2
ENSG00000122386,343,282,523,695
ENSG00000085644,308.83,367,693,650
ENSG00000228146,2,1,0,2
ENSG00000168124,3,12,20,6.5
ENSG00000010539,204,269,309,299
ENSG00000103313,0,1,0,2
ENSG00000006194,1515,988.5,1411,2426
ENSG00000140993,62,41,81,94
ENSG00000162086,187.5,181.5,218.83,287
ENSG00000168158,0,0,0,0
ENSG00000262621,41.5,59.75,81.25,75
ENSG00000232196,0,0,0,0
ENSG00000140987,314,434,544,544
ENSG00000103343,140,222.5,299.5,257.5
ENSG00000167981,107,73,88,186
ENSG00000122390,221.5,676.75,867.25,580.5
ENSG00000215131,0,0,0,0
ENSG00000103351,148,188,274,211
ENSG00000167984,5,5,3,4.17
ENSG00000188827,336,846,1124,706
ENSG00000213918,31,59,81,80
ENSG00000126602,749.5,7227.83,8741.67,1624.5
ENSG00000005339,1257,2889,3666.5,2136.5
ENSG00000162104,186,812,1237,417
ENSG00000185739,3,2,1,2
