,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK020_21F,AK029_30F,AK034F
ENSG00000120549,35,23,48,13,0,133,110,124,175,230,190,196,50
ENSG00000107863,105,101,150,79,12,285,280,268,332,570,486,583,120
ENSG00000099256,76,54,86,31,0,118,79,104,98,136,132,132,64
ENSG00000151023,2,0,1,0,0,1,4,3,0,2,0,2,2
ENSG00000185875,21,18,47,23,1,135,130,182,193,151,205,274,50
ENSG00000151025,2,0,0,1,0,2,0,0,0,6,2,4,0
ENSG00000095777,0,0,0,0,0,0,0,0,0,1,0,1,0
ENSG00000136750,0,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000077420,22,38,76,10,0,67,128,153,179,76,91,75,90
ENSG00000148459,76,90,135,46,4,197,189,212,237,353,337,364,84
ENSG00000136754,399,370,593,134,12,855,824,862,1026,1225,1206,1174,454
ENSG00000107890,23,38,42,38,9,120,156,148,205,186,163,170,60
ENSG00000136758,838,839,1141,308,24,2869,2912,3226,3698,3088,3518,3312,1122
ENSG00000120539,239,194,330,124,13,548,544,578,772,1158,916,980,237
ENSG00000107897,228,176,288,91,14,698,648,736,799,785,910,987,208
ENSG00000182077,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000099246,534,334,636,189,20,1064,1051,995,1010,1752,1370,1888,425
ENSG00000150051,0,0,0,0,0,0,1,0,0,1,0,0,1
ENSG00000169126,1,0,1,0,0,0,0,2,0,0,1,0,1
ENSG00000150054,1,0,5,0,0,3,1,1,6,4,3,3,2
ENSG00000095787,372,336,499,171,16,781,756,733,886,1593,1525,1602,406
ENSG00000095739,429,298,372,152,24,537,524,500,621,2198,1286,1357,292
ENSG00000204365,0,0,0,0,0,0,0,0,0,3,1,1,0
ENSG00000120563,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000197321,28,26,54,20,13,129,134,148,169,264,215,253,118
ENSG00000165757,42,43,99,26,4,107,139,162,184,206,187,201,70
ENSG00000107951,225,197,316,179,16,744,672,800,871,1695,1503,1688,375
ENSG00000107968,108,199,288,134,18,189,275,307,337,987,521,757,253
ENSG00000151033,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000183621,6,10,14,2,0,19,17,11,33,51,30,50,17
ENSG00000148516,42,42,84,32,7,241,182,242,309,300,311,374,101
ENSG00000165322,101,79,147,76,10,460,399,542,601,491,647,664,180
ENSG00000170759,949,776,1346,380,35,3492,3435,3654,3863,4468,4044,4937,1100
ENSG00000120616,80,82,111,110,20,169,178,188,274,940,664,720,126
ENSG00000216937,4,9,8,4,2,8,13,15,16,11,18,12,9
ENSG00000150076,2,4,2,1,0,4,1,2,10,10,8,6,1
ENSG00000150093,16020,11107,16359,3376,165,32911,38877,37125,39865,42440,41394,37344,16062
ENSG00000099250,1234,912,1412,309,40,4217,4180,4638,4726,7188,5663,6627,2166
ENSG00000148498,460,470,720,223,32,1274,1194,1426,1888,1614,1519,1694,790
ENSG00000108094,237,208,330,96,11,858,773,874,985,898,1000,926,316
ENSG00000095794,234,223,262,129,14,267,198,242,319,1114,610,688,244
ENSG00000108100,211,178,221,68,7,160,185,182,228,446,356,368,118
ENSG00000177291,0,0,0,1,0,0,0,0,0,2,0,0,0
ENSG00000177283,337,198,325,153,13,561,405,438,530,3352,2407,2432,233
ENSG00000148513,68,1,7,27,2,148,0,4,0,151,176,168,0
ENSG00000256892,2,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000198105,19,19,28,17,3,58,49,64,71,143,107,139,29
ENSG00000175395,29,12,17,13,0,33,29,21,22,52,36,41,10
ENSG00000189180,58,64,86,44,4,161,134,139,194,297,242,322,86
ENSG00000075407,37,30,50,22,0,79,65,80,81,131,106,153,26
ENSG00000196693,41,45,49,39,2,79,86,105,114,224,186,218,47
ENSG00000165733,119,131,212,102,20,714,617,857,787,743,848,877,283
ENSG00000165731,8,8,10,8,0,5,11,8,9,23,14,11,9
ENSG00000169826,105,55,84,38,4,121,159,120,132,484,288,332,85
ENSG00000198915,10,11,16,7,0,22,10,21,12,67,45,56,13
ENSG00000150201,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000169813,1155,905,1809,350,23,4750,4004,5195,4796,4272,5480,6414,1666
ENSG00000243660,10,16,16,8,2,9,9,11,16,58,25,47,6
ENSG00000196793,14,6,12,12,0,31,13,28,26,97,120,159,9
ENSG00000198298,10,7,11,13,1,25,18,27,28,116,120,119,10
ENSG00000169740,66,69,93,55,6,64,75,68,79,229,133,231,51
ENSG00000277288,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000107562,2,1,1,1,0,3,2,4,3,23,16,11,0
ENSG00000187783,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000107551,14,10,10,2,2,10,9,10,10,15,8,9,11
ENSG00000165507,2,0,5,1,3,3,0,3,5,25,17,16,4
ENSG00000165511,0,0,1,0,0,0,0,1,0,0,0,0,0
ENSG00000165512,73,71,92,51,3,84,63,65,87,244,170,281,74
ENSG00000256574,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000012779,3,0,2,0,0,3,2,3,3,3,4,4,2
ENSG00000165406,49,37,36,13,0,47,52,57,54,109,93,87,28
ENSG00000172671,27,22,37,7,4,28,56,31,47,102,80,99,33
ENSG00000172661,95,128,204,50,9,354,381,456,469,482,447,441,204
ENSG00000231122,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188234,3,4,6,8,2,2,2,5,4,48,25,17,5
ENSG00000265354,844,830,1284,280,12,1583,1494,1679,1691,2916,2454,2738,718
ENSG00000266412,366,433,676,137,19,1638,1583,1974,2064,1921,2034,2054,676
ENSG00000263639,0,0,0,0,0,3,0,0,1,4,3,6,0
ENSG00000274209,0,0,0,4,0,0,1,0,2,5,4,2,1
ENSG00000279058,3,2,4,6,1,1,2,4,3,33,17,13,4
ENSG00000279458,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264230,192,290,442,83,13,260,648,757,694,425,357,281,366
ENSG00000204174,387,256,314,133,5,503,580,614,621,1015,907,657,176
ENSG00000204175,155,156,249,78,5,293,233,317,292,657,612,553,118
ENSG00000204176,27,40,49,19,0,32,27,44,30,98,65,58,29
ENSG00000204179,24,20,41,14,0,26,25,15,19,76,53,59,20
ENSG00000266524,0,0,0,0,0,1,0,0,0,2,0,1,0
ENSG00000263761,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265203,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265763,43,44,85,17,0,45,41,45,49,119,112,136,48
ENSG00000265190,178,293,455,68,17,256,612,732,682,348,321,277,394
ENSG00000189090,1,1,1,1,0,0,1,0,0,3,1,2,0
ENSG00000204172,6,7,10,8,2,20,16,29,27,73,46,48,15
ENSG00000277758,33,44,51,19,0,34,27,46,31,104,68,66,29
ENSG00000276430,1,1,1,1,0,0,1,0,0,3,1,2,0
ENSG00000170324,0,0,0,0,0,0,0,0,3,1,2,0,0
ENSG00000107643,107,80,117,38,1,217,200,204,200,322,302,340,110
ENSG00000128805,8,13,15,1,1,13,13,13,17,60,34,41,9
ENSG00000128815,0,2,0,0,0,0,0,0,2,1,2,2,0
ENSG00000165383,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000165633,5,2,1,2,0,14,2,5,2,9,12,6,2
ENSG00000172538,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000204161,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177354,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000165606,0,0,0,0,0,0,0,0,0,1,2,0,0
ENSG00000225830,6,2,18,17,0,29,32,30,47,77,52,70,15
ENSG00000243251,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258838,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000070748,0,0,0,0,0,0,1,0,1,0,0,0,0
ENSG00000187714,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000178645,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197444,2,1,0,1,0,8,4,6,4,2,5,6,2
ENSG00000227345,102,89,145,44,4,317,290,368,403,444,515,511,127
ENSG00000204152,279,285,381,123,11,550,503,558,602,1089,873,885,240
ENSG00000204149,6,4,5,14,4,2,1,7,4,57,35,27,7
ENSG00000099290,77,113,170,36,8,334,330,408,418,430,403,385,176
ENSG00000188611,32,26,33,24,1,47,24,34,40,135,85,107,26
ENSG00000198964,221,186,271,89,7,288,384,406,471,963,684,750,196
ENSG00000279291,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000204147,18,28,23,19,3,24,16,28,30,117,70,80,18
ENSG00000148584,0,4,5,2,0,6,1,5,7,10,11,3,2
ENSG00000185532,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177613,192,192,318,83,13,755,675,882,992,1130,1470,1319,335
ENSG00000107984,2197,2042,3221,2112,260,5806,7737,8118,7352,24075,23585,24664,1084
ENSG00000165471,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000150275,2,0,0,1,0,7,0,0,0,9,11,9,0
ENSG00000249860,87,3,3,1,2,1,2,2,2,23,14,3,1
ENSG00000122952,1024,974,1344,227,21,1639,1548,1629,1637,2758,2257,2452,766
ENSG00000151151,90,90,112,50,1,124,139,120,130,311,243,316,64
ENSG00000122873,450,439,640,205,6,612,632,563,629,1273,1022,1179,299
ENSG00000072401,353,279,389,169,27,436,518,490,584,1334,1037,1190,325
ENSG00000108064,578,499,771,232,12,1325,1219,1155,1337,1864,1719,2188,462
ENSG00000122870,500,573,821,164,9,1502,1609,1700,1984,1296,1530,1635,786
ENSG00000165443,4,1,1,1,0,17,8,6,3,21,19,19,2
ENSG00000148541,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000165449,6,0,1,2,0,5,1,3,4,22,17,21,1
ENSG00000108091,338,303,510,84,22,828,812,788,966,991,1064,1094,324
ENSG00000151150,7,0,3,4,0,37,2,5,7,18,24,20,2
ENSG00000170312,1185,796,1400,282,29,3102,2668,3058,2601,2602,3296,3572,824
ENSG00000072422,114,90,143,44,4,151,232,231,196,331,282,375,66
ENSG00000196932,0,0,0,0,0,0,0,0,0,4,0,0,0
ENSG00000183346,1,1,0,0,0,4,0,0,0,7,4,5,0
ENSG00000150347,11,7,8,37,11,19,12,11,44,201,127,174,12
ENSG00000182010,37,8,25,15,2,57,54,73,59,73,73,73,22
ENSG00000138311,8,11,20,10,0,11,18,14,28,55,57,41,8
ENSG00000181915,250,269,351,119,19,270,264,303,377,1319,936,1189,227
ENSG00000122877,0,0,0,0,3,0,0,1,2,26,2,4,6
ENSG00000148572,95,90,128,58,15,172,163,181,187,512,439,458,96
ENSG00000171988,78,112,133,108,25,371,387,527,588,941,775,908,249
ENSG00000165476,931,549,876,224,22,888,1104,1006,1056,1654,1250,1572,413
ENSG00000183230,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000198739,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000108176,250,163,268,99,12,587,588,540,627,925,918,989,234
ENSG00000096717,149,151,276,102,25,631,524,658,739,1296,1234,1362,232
ENSG00000148634,197,185,290,175,22,886,763,792,943,1183,1128,1610,385
ENSG00000138347,7,2,14,6,1,11,17,18,24,54,32,51,19
ENSG00000179774,0,2,2,3,0,0,1,0,0,15,3,15,2
ENSG00000108187,28,32,38,5,1,61,76,88,100,73,53,51,44
ENSG00000096746,415,286,540,174,27,1572,1499,1813,1782,2099,2110,2075,516
ENSG00000204130,69,41,81,33,2,189,165,153,256,327,301,406,63
ENSG00000138346,104,91,153,48,12,429,425,481,594,473,534,590,166
ENSG00000122912,91,98,157,32,1,152,144,174,184,286,222,230,72
ENSG00000138336,18,15,16,9,3,38,34,29,32,70,38,60,10
ENSG00000060339,275,318,491,195,38,1709,1391,1996,1948,1695,1985,1836,534
ENSG00000165730,8,6,12,0,0,21,22,28,25,22,23,37,14
ENSG00000107625,89,86,156,56,3,382,322,360,416,338,374,496,156
ENSG00000165732,382,344,753,285,56,2718,2264,2832,2928,2378,3390,3601,940
ENSG00000198954,253,211,383,115,14,1020,855,1046,1061,1034,1283,1307,350
ENSG00000122862,1299,909,1482,345,23,1425,1511,1597,1791,3512,2525,2887,821
ENSG00000122958,282,246,416,96,4,974,849,941,1071,770,823,1230,320
ENSG00000156502,143,147,230,101,18,452,387,487,509,874,803,953,186
ENSG00000156510,143,150,256,95,21,964,607,831,712,1412,1481,1650,223
ENSG00000156515,126,92,214,30,8,714,591,836,755,519,676,716,232
ENSG00000075073,1,0,1,2,0,1,2,0,0,4,3,2,1
ENSG00000099282,1173,816,1094,284,32,880,1026,953,1123,2364,1711,1585,562
ENSG00000122859,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000171224,203,176,230,64,4,156,146,151,173,578,380,405,136
ENSG00000197467,0,0,1,0,0,2,2,1,1,2,4,6,4
ENSG00000099284,140,196,292,42,1,414,429,546,519,472,495,489,236
ENSG00000042286,468,469,699,121,10,1173,1075,1192,1238,1756,1461,1666,472
ENSG00000156521,167,185,253,56,4,435,365,460,450,718,713,754,259
ENSG00000079332,814,631,1028,215,23,1624,1679,1744,1912,3068,2250,2719,894
ENSG00000180817,759,557,1058,162,23,2258,2159,2338,2622,2151,2345,2626,886
ENSG00000148734,0,0,0,0,0,0,0,0,0,2,0,0,1
ENSG00000172731,150,144,203,46,2,146,126,159,146,350,210,272,108
ENSG00000148730,106,99,92,55,2,72,76,67,72,384,272,297,47
ENSG00000156574,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000107719,38,55,76,26,3,123,102,117,107,209,134,148,54
ENSG00000180644,0,0,0,0,0,1,0,0,0,3,1,0,0
ENSG00000138316,0,0,1,0,1,0,2,1,0,3,6,4,1
ENSG00000166220,2,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000166224,628,558,803,170,10,1177,1347,1330,1424,1660,1549,1752,751
ENSG00000166228,2695,2277,3335,674,41,1945,1949,1984,2062,4420,2870,3558,1562
ENSG00000107731,2,4,13,1,0,16,11,13,9,24,18,20,6
ENSG00000198246,192,135,209,54,0,251,261,302,279,528,482,482,137
ENSG00000107736,25,24,27,4,0,27,32,34,34,52,38,35,25
ENSG00000214688,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000107738,426,292,414,99,7,412,350,375,438,1194,909,943,284
ENSG00000197746,10456,6969,10256,1719,132,18952,18675,20732,20948,29081,26686,23374,9602
ENSG00000122863,289,199,349,122,3,404,395,484,435,1266,977,854,226
ENSG00000107742,2,1,0,4,0,3,0,1,0,10,4,3,1
ENSG00000138303,163,140,248,64,7,879,567,763,790,615,722,750,216
ENSG00000166295,841,910,855,316,18,714,652,728,828,1717,1238,1350,477
ENSG00000168209,1202,1453,2059,551,70,2457,2021,2572,3028,5582,6026,5652,1689
ENSG00000148719,396,262,394,126,16,616,534,570,572,1013,1052,1122,334
ENSG00000107745,286,257,426,73,6,1126,998,1345,1280,765,938,1030,395
ENSG00000156026,464,454,622,122,7,1080,1138,1381,1287,1104,1224,1315,532
ENSG00000138315,1,0,1,1,0,0,0,0,0,9,1,2,0
ENSG00000138308,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000122884,291,179,298,58,5,798,907,982,947,1133,930,1174,347
ENSG00000166321,14,14,32,6,0,16,16,24,26,52,41,48,12
ENSG00000122882,152,155,252,59,6,882,666,841,822,628,738,849,330
ENSG00000138286,30,37,33,22,0,42,37,35,60,111,65,77,25
ENSG00000213551,601,545,840,186,15,809,750,826,839,1363,1099,1217,342
ENSG00000182180,2089,1838,2529,580,22,1564,1580,1463,1761,4265,2790,3338,1233
ENSG00000156042,5,8,7,15,3,5,11,7,16,47,45,46,3
ENSG00000138279,772,654,1129,178,17,2455,2048,2569,2701,1988,2706,2482,922
ENSG00000166343,1,0,1,1,1,0,0,3,1,9,6,9,0
ENSG00000107758,349,316,392,98,4,536,507,511,573,904,748,882,261
ENSG00000166348,48,49,95,25,3,158,164,191,211,310,261,314,77
ENSG00000177791,1,0,0,0,0,1,0,3,3,0,1,0,0
ENSG00000166317,0,0,0,0,0,0,0,0,0,1,2,1,1
ENSG00000172650,3,2,7,7,1,2,3,6,5,49,22,21,8
ENSG00000176986,401,430,637,151,19,1874,1592,1976,2238,1624,2227,1769,817
ENSG00000196968,274,204,301,85,3,283,312,332,331,910,624,794,188
ENSG00000172586,1133,1202,1564,493,40,935,993,1056,1186,3206,2256,2436,679
ENSG00000214655,58,61,62,41,10,176,142,141,170,452,326,336,84
ENSG00000272916,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166507,6,14,18,6,2,10,8,9,6,88,33,14,3
ENSG00000148660,126,150,230,39,8,280,245,282,295,546,423,352,142
ENSG00000122861,740,918,1307,338,46,1803,2402,2404,2918,4594,3624,4150,1647
ENSG00000222047,3,4,5,8,0,1,0,6,2,18,23,13,3
ENSG00000035403,841,742,1372,313,23,6332,6362,8020,7724,5961,6569,7059,4269
ENSG00000185009,261,210,374,79,8,1131,971,1232,1188,889,1070,1145,370
ENSG00000156110,281,246,438,61,6,852,739,753,831,672,696,814,302
ENSG00000156650,54,40,54,44,2,117,126,146,151,205,192,250,57
ENSG00000188716,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000079393,2,0,0,0,0,2,1,0,0,3,2,4,0
ENSG00000156671,132,81,160,74,12,234,225,214,291,756,561,708,140
ENSG00000165637,1248,1135,1716,447,36,3201,2413,2824,3080,4043,3839,3984,1059
ENSG00000165644,345,364,453,131,14,418,290,361,361,1335,937,770,227
ENSG00000165655,95,71,130,79,18,212,156,204,273,1149,1036,869,176
ENSG00000148655,8,17,22,4,0,20,29,26,20,26,20,26,29
ENSG00000156113,187,194,306,44,4,191,360,419,423,377,310,317,318
ENSG00000151208,161,242,318,86,23,466,494,654,558,923,747,734,271
ENSG00000148606,81,101,156,73,27,464,366,528,500,826,722,812,221
ENSG00000138326,4880,4749,6396,2054,100,8402,9315,10018,11670,13858,15893,12871,3982
ENSG00000108175,205,244,403,92,3,802,829,1132,1125,982,1119,974,474
ENSG00000108179,912,932,1518,440,45,1696,1523,1786,1514,4182,3383,3965,798
ENSG00000165424,42,28,46,10,3,28,38,39,45,117,79,84,41
ENSG00000253626,5577,4073,7357,1226,98,5918,5919,6103,6018,11058,7997,10437,3451
ENSG00000185303,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000122852,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000188199,0,0,0,4,1,0,0,0,0,11,7,9,1
ENSG00000228570,0,0,0,4,1,0,0,1,0,11,6,7,1
ENSG00000133661,1,0,2,0,1,2,0,2,0,5,4,4,0
ENSG00000133678,157,116,156,83,4,171,144,164,146,431,278,306,115
ENSG00000189129,0,0,4,0,0,1,2,0,1,3,1,4,1
ENSG00000122359,1316,1221,1913,284,21,2960,2530,3220,3136,3020,3741,3143,1163
ENSG00000151224,0,0,0,0,0,2,0,2,0,1,2,1,0
ENSG00000170788,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000133665,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000122378,454,384,488,119,3,408,513,489,554,790,490,626,341
ENSG00000108219,1581,1266,1608,520,48,1953,2252,2291,2501,6258,5184,4501,1346
ENSG00000178217,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000185737,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000165678,1818,1638,2431,428,22,4295,4046,4715,5021,3762,4562,4472,1498
ENSG00000188373,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000148600,2,1,0,0,0,3,0,1,0,5,2,2,1
ENSG00000204033,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148602,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148604,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000107771,119,92,163,52,4,170,161,194,183,351,289,358,92
ENSG00000182771,13,7,12,0,0,17,23,27,23,35,27,32,12
ENSG00000062650,110,102,160,107,5,382,363,410,461,712,621,758,166
ENSG00000122375,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122367,0,1,0,0,0,1,0,0,0,1,2,1,1
ENSG00000107779,224,136,214,78,2,254,286,275,299,634,446,493,144
ENSG00000173269,1,1,0,0,0,0,0,0,2,7,3,2,0
ENSG00000173267,54,42,48,30,5,61,44,50,42,180,119,131,42
ENSG00000148671,1,1,0,0,0,0,2,0,0,5,3,2,0
ENSG00000188100,0,0,1,0,0,0,0,0,0,2,0,0,0
ENSG00000148672,378,427,711,93,7,1547,1330,1788,1707,1090,1350,1367,540
ENSG00000122376,105,99,156,42,4,166,166,155,185,302,233,323,100
ENSG00000184923,0,0,0,2,1,0,0,0,0,13,5,5,1
ENSG00000214562,0,0,0,1,1,0,0,0,0,14,5,6,2
ENSG00000107789,425,314,476,132,10,936,870,967,942,1640,1559,1688,450
ENSG00000198682,141,112,181,45,1,496,391,490,457,324,385,467,198
ENSG00000138138,504,311,511,182,18,1016,1101,1097,1312,2046,1907,2272,521
ENSG00000227268,4,1,1,30,1,0,2,4,5,47,20,61,4
ENSG00000171862,133,81,123,65,6,176,179,187,196,317,255,374,97
ENSG00000184719,36,34,52,5,0,54,88,76,83,60,64,69,64
ENSG00000204022,0,0,0,0,0,0,2,1,0,1,1,1,0
ENSG00000182333,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204021,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204020,0,1,0,2,0,0,2,0,0,1,0,0,0
ENSG00000173239,1,0,0,0,0,0,1,1,1,3,3,1,0
ENSG00000152766,0,2,3,0,0,6,5,4,11,3,1,3,4
ENSG00000138134,117,103,133,66,2,246,280,330,346,408,397,452,189
ENSG00000107796,139,113,181,30,2,271,269,376,381,282,251,228,151
ENSG00000026103,101,92,121,25,5,214,310,348,352,418,328,359,151
ENSG00000138135,0,0,0,0,15,0,0,0,82,278,0,0,110
ENSG00000107798,647,401,660,101,6,1380,1734,1552,1761,2050,1687,1747,823
ENSG00000119922,3,0,4,1,251,16,11,15,4519,6712,17,35,2668
ENSG00000119917,6,5,5,3,79,23,24,27,3105,3490,35,44,1672
ENSG00000204010,0,0,1,1,7,1,0,2,159,134,1,1,82
ENSG00000185745,2,0,0,0,80,14,9,10,4560,4586,10,17,2192
ENSG00000152778,79,92,110,63,33,334,248,324,774,1023,535,611,346
ENSG00000152779,0,1,2,0,0,1,0,1,2,2,1,3,1
ENSG00000152782,68,56,84,32,9,89,100,81,84,291,204,226,41
ENSG00000138182,180,158,296,127,26,806,751,816,1153,990,779,1279,290
ENSG00000148680,0,0,1,0,0,2,0,0,0,1,2,2,0
ENSG00000148688,404,401,553,137,5,846,732,750,806,1111,1054,1156,376
ENSG00000148677,57,7,19,252,146,125,29,26,281,1316,898,1201,48
ENSG00000180628,232,141,225,85,9,304,322,290,390,514,346,472,125
ENSG00000165338,61,41,53,20,5,96,94,87,113,177,159,183,48
ENSG00000119938,46,39,63,53,7,100,102,141,116,251,302,434,66
ENSG00000107854,165,169,289,79,11,690,606,679,747,870,698,926,287
ENSG00000174721,42,56,96,19,2,77,55,69,69,250,169,212,54
ENSG00000095564,129,150,233,131,21,703,664,750,825,1116,1094,1140,297
ENSG00000107864,3,7,9,4,1,12,9,13,17,51,42,34,10
ENSG00000198060,276,203,365,100,11,538,543,562,626,800,696,862,291
ENSG00000119912,254,209,362,96,3,1412,1144,1422,1565,859,1289,1377,487
ENSG00000138160,353,329,608,107,7,2243,1908,2219,2190,1536,2068,1885,530
ENSG00000152804,273,236,361,245,31,301,304,296,382,1651,1525,1517,136
ENSG00000138190,210,204,304,71,3,893,801,930,1097,710,872,842,267
ENSG00000187553,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000095596,25,7,31,12,0,32,17,19,20,67,79,80,18
ENSG00000138119,616,567,1072,319,52,4279,3537,4492,4361,3179,3867,4251,1551
ENSG00000138180,552,363,619,130,22,1136,1071,1032,1041,1034,1074,1388,392
ENSG00000186188,15,9,8,3,0,21,22,12,16,48,55,38,11
ENSG00000138207,151,63,119,21,5,102,134,114,123,223,175,168,89
ENSG00000095464,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000148690,81,89,132,26,6,235,270,275,360,394,389,483,132
ENSG00000108231,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000176273,126,118,189,63,0,201,209,221,242,506,437,434,107
ENSG00000138193,90,112,175,20,3,257,324,302,419,382,330,380,115
ENSG00000173145,131,128,214,111,14,678,515,730,736,711,700,831,296
ENSG00000108239,46,52,84,31,2,75,85,98,139,223,202,206,39
ENSG00000119969,256,257,431,81,13,1536,1301,1662,1536,1052,1364,1497,429
ENSG00000108242,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000276490,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165841,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000138109,0,0,0,0,0,0,0,1,1,1,0,2,0
ENSG00000138115,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000173124,0,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000107438,936,872,1332,238,14,2158,2326,2802,3044,2338,3041,2500,1232
ENSG00000095637,5,5,7,0,0,19,22,6,22,18,13,22,7
ENSG00000059573,218,242,425,107,12,1398,1309,1650,1628,1522,1657,1918,653
ENSG00000119977,866,694,842,231,26,990,1023,1011,1098,2114,1735,1702,645
ENSG00000138185,1,0,3,0,0,0,0,0,0,5,1,3,0
ENSG00000270099,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000173088,5,1,1,0,0,0,0,1,0,2,1,1,0
ENSG00000269948,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269920,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188649,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000107443,64,50,58,45,10,61,78,50,75,384,255,325,32
ENSG00000177853,75,41,76,34,6,242,228,219,351,280,301,405,112
ENSG00000095585,1,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000107447,0,0,1,0,0,1,2,1,2,1,0,1,1
ENSG00000197430,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000095587,4,4,6,1,0,8,6,8,11,20,10,7,3
ENSG00000077147,2385,1487,2209,481,35,4446,5037,4551,4937,6692,5493,5758,1940
ENSG00000155629,15,10,12,2,3,15,18,27,52,56,14,16,32
ENSG00000196233,84,80,96,42,0,129,136,129,176,290,279,297,59
ENSG00000155640,48,50,111,30,0,168,153,185,208,236,284,263,92
ENSG00000187122,3,4,5,1,2,4,11,8,6,18,17,25,4
ENSG00000269891,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213390,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165879,8,10,14,9,2,20,10,10,12,74,46,78,10
ENSG00000181274,26,38,48,30,0,33,29,30,30,197,142,210,16
ENSG00000052749,190,262,459,173,50,1475,959,1690,1730,2289,2494,2191,708
ENSG00000171314,1137,1146,1733,217,15,2218,1903,2258,2009,2621,2437,2612,877
ENSG00000171311,387,391,519,116,10,550,583,605,670,976,820,912,329
ENSG00000171307,309,209,304,71,12,204,224,220,173,608,447,406,156
ENSG00000155229,191,213,310,115,13,425,344,508,437,703,714,676,262
ENSG00000165886,90,81,118,43,5,81,82,90,106,360,205,242,63
ENSG00000165887,42,39,69,2,2,82,49,74,53,101,104,100,30
ENSG00000241935,15,9,25,3,0,17,21,33,35,24,20,28,9
ENSG00000249967,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203942,0,0,0,1,0,0,0,0,0,0,0,0,0
