Geneid,AK006M,AK007M,AK008M,AK010M,AK012M,AK014M,AK016M,AK017M,AK018M,AK021M,AK019M,AK029M,AK034M,AK098M,AK102M,AK117M,AK123M,AK133M,AK134M,AK135M,AK136M,AK137M,AK138M
ENSG00000110651,190,590,697,35,21,2493,513,2351,459,1407,888,392,791,5661.09,4277.02,4859.95,3479.43,7111.14,9135.45,1378,7763.4,3212.05,4492.14
ENSG00000184281,37,496,508,25,11,1714,385,1636,362,1038,1041,590,777,1600,2116,1238,1941,2311,4809,1355,2526,919,1884
ENSG00000070985,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0
ENSG00000053918,0,6,11,0,0,3,12,19,3,2,1,3,3,20,16,15,17,65,61,3,28.12,11,10.5
ENSG00000129757,2,2,2,0,0,12,1,12,1,6,7,3,4,18,7,7,26,17,35,89,13,3,24.5
ENSG00000254827,11,92,85,1,0,37,64,49,4,23,8,22,49,285.33,252,289.83,211,499,576.17,53,450.5,136,158
ENSG00000110628,28,233,206,12,5,468,171,722,102,228,123,118,208,830.5,603,1108,829,1203,1957.5,182,1111.5,422,690
ENSG00000181649,84,646,656,47,57,168,409,282,31,369,89,604,604,1499,2523,1458,2375,3215,6956,3329,3420,1403,2275.5
ENSG00000205531,241,995,1110,75,26,2795,1700,2511,518,1340,879,680,1162,4382.17,3229.5,3452.5,2533,5084.67,6706.67,1036,6551.67,2601.5,4630
ENSG00000110619,53,634,631,25,11,1556,934,1666,482,714,446,380,1690,2460,1585.5,2235,1528,2356.5,3553.5,1009,3170.67,1209.5,5966.17
ENSG00000021762,8,146,117,1,3,162,132,278,62,100,57,90,219,294,245.5,275,186,310,610,79,461,159,544
ENSG00000182170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184350,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,1
ENSG00000005801,136,504,533,55,15,1298,634,1613,281,1250,907,514,765,1663.75,2928,1596.5,1685.17,2714,5994.96,1742.12,2758,1024.5,2942.17
ENSG00000167311,1,1,0,0,1,2,1,9,0,2,0,1,0,3,6,3,3,11,10,1,4,0,1
ENSG00000129744,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
ENSG00000129749,2,24,8,7,7,13,8,17,3,72,49,52,20,21,62,6,71.5,41,165,197,35,11,34
ENSG00000110713,244,1865,1983,218,165,4940,2742,5942,1224,3783,2670,2371,3727,5830,6279.5,5437.25,4926.5,4749.75,11274,5777.5,7177.33,2855.5,10414.5
ENSG00000148985,65,233,264,12,5,249,187,370,61,195,96,107,199,958.5,754,699,458,1478,1589.17,266,1707.17,582,830
ENSG00000177105,74,282,297,16,9,437,191,669,80,484,215,288,290,1889,2059,1505,1507,2798.67,4756,744,2943,1058.33,1844
ENSG00000167323,35,358,377,16,1,795,518,1006,139,357,253,299,600,1787.67,1193.67,1913,1177.5,2173.67,2881,242,2643.67,1044.67,1871.5
ENSG00000167325,100,678,749,44,19,4306,1414,4554,836,1082,1110,507,1530,4716.5,2520,3780.5,2062,2537,4079.5,653,4718.17,1965.5,6333.5
ENSG00000221996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,8,0,0,0
ENSG00000280253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,8,0,0,0
ENSG00000132109,28,187,200,12,68,219,249,332,151,787,93,196,1404,583.5,569,469,1521,481,1043,4037,774.5,290,4380.5
ENSG00000181963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.5,1,0
ENSG00000196778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0
ENSG00000197790,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
ENSG00000226288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167333,14,105,135,9,9,305,140,357,70,232,149,113,205,451,500,382.33,453,509,1133,283,562,207,623
ENSG00000197428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180785,1,0,0,0,1,8,1,1,1,7,12,2,0,20,33,21,27,4,3,1,1,1,1
ENSG00000167332,1,0,0,0,0,10,0,0,0,5,1,2,0,27,17,19,14,5,7,0,1,0,2
ENSG00000167346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1
ENSG00000280021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000278870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000205495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000182070,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000176748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ENSG00000176742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244734,0,0,0,0,0,1,0,0,1,1,0,1,1,11.25,5,1.5,2,0,1,4.5,2.5,0,0
ENSG00000223609,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,0,0,0.5,0.5,0,0
ENSG00000213934,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.17,1,0.83,0,0
ENSG00000196565,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,5,0.83,0,0
ENSG00000279824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
ENSG00000279346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
ENSG00000213931,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0.33,0,1
ENSG00000183251,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ENSG00000279012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
ENSG00000184881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
ENSG00000242180,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,1,0
ENSG00000176239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000187918,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.25,1,0,0,0
ENSG00000175518,0,0,0,0,1,1,1,0,1,0,0,0,0,2,5,3,2,2,1,1,1,0,0
ENSG00000181616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ENSG00000187747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000121236,28,273,245,8,2,426,391,465,84,226,134,168,362,656.25,558.25,731.67,549.75,957,1443.67,257.33,982.5,402,831.5
ENSG00000258588,13,153,148,4,1,303,253,301,51,180,89,96,246,362.58,258.75,389.42,272.75,462.5,632.42,146.33,496.5,183,454
ENSG00000258659,6,26,30,0,0,98,50,92,16,54,20,14,65,119.33,79.5,118.92,80,100.5,135.92,55,128.5,48,143.5
ENSG00000132256,36,245,244,22,16,668,482,776,159,603,296,224,757,849.17,829,894,981.5,934.25,1784.92,1752,1192.33,452.17,2081
ENSG00000132274,2,6,0,2,0,17,6,15,4,23,5,1,30,14,10,31,29,25.14,34,88.67,15.25,10,65
ENSG00000181023,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
ENSG00000181074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000181009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0
ENSG00000188691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
ENSG00000183313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000183389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000255307,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0
ENSG00000175485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000180878,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
ENSG00000051009,30,263,304,40,11,527,237,580,151,620,401,416,447,883,1458.5,709,1102,1014.5,2896.5,848,1095,432,1307
ENSG00000132259,1,0,3,0,0,2,1,1,1,4,0,1,0,4,3,4,3,6,7,11,11,1,1
ENSG00000110148,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,0
ENSG00000170955,10,50,31,4,0,141,13,92,7,38,53,17,48,285,329,232,228,385,650,77,262,93,106
ENSG00000166311,22,134,139,8,7,165,120,270,44,117,59,79,232,511,302,332,334,560,655,422.67,552,176,455.5
ENSG00000166313,18,200,198,6,1,534,183,701,136,208,155,111,303,852.5,518,685,432,861.25,1072.67,170,1091,371,825
ENSG00000110169,0,5,5,0,0,5,5,8,2,10,6,1,1,10,9,14,11,9,22,34,3,4,13
ENSG00000110171,13,138,153,3,2,266,103,352,69,248,139,128,259,414,548.5,333.5,372.5,482,936.5,331.5,514,200,559.17
ENSG00000132254,120,1296,1351,44,22,1658,1180,2056,338,987,692,799,1404,2395.33,2026.5,1967.5,1491.67,3704.33,4753,1049.67,3755.83,1503.83,2597
ENSG00000132286,9,128,111,4,1,232,75,210,34,151,129,82,100,143.5,225,125.5,137,255.33,444.5,113.5,278.5,94,148.5
ENSG00000265264,9,128,111,4,1,232,75,210,34,151,129,82,100,143.5,225,125.5,137,255.33,444.5,113.5,278.5,94,148.5
ENSG00000179532,27,129,126,18,11,128,69,236,29,293,195,176,156,193,542,241,371,394.5,1073,549,348,119,270
ENSG00000132275,50,327,329,39,20,858,352,1094,208,627,579,461,679,1212,1427.5,894.5,1166,1168.75,2794.75,1037,1396.5,550.25,1682.5
ENSG00000166333,142,1019,1078,59,60,2424,1449,2951,466,821,650,688,2256,3817.5,2018,2922.5,1891,2967.33,3857.67,1415,4215.17,1749.5,4324.5
ENSG00000166337,533,2842,2976,152,53,2824,2332,2467,418,1437,989,1540,2328,4298,3601.5,2994,2453,5945.5,7159.5,1253.5,6417,2616,3256.17
ENSG00000166340,25,104,130,19,15,297,98,431,58,282,182,107,107,1228,1092,1323.5,981,1474.5,2874,991.5,2248.5,877,1953
ENSG00000166341,0,6,3,2,2,8,4,7,4,44,13,15,26,30,40,30,64,44.5,96,503,31.5,12,110
ENSG00000158042,292,1780,1880,78,30,3363,1595,3202,382,1508,1370,1150,1832,3429,3224,2677,2243.5,4800.5,7064.5,900,4999.5,2271,3233
ENSG00000188124,0,1,1,0,0,1,0,1,1,0,0,1,0,1,4,4,1,2,4,0,2,1,1
ENSG00000279486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000166363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170782,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178358,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000149054,6,31,24,1,1,53,32,54,7,53,27,17,26,71,111,50,61,125,286,51,118,54,118
ENSG00000149050,8,16,24,4,1,60,18,48,11,65,43,28,46,130,160,58,111,105,321.5,81,101.5,44,198
ENSG00000158077,0,0,0,0,0,0,0,1,0,1,0,1,1,1,5,0,0,0,2,1,1,0,2
ENSG00000170748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000170743,1,1,2,2,0,8,8,11,0,6,3,7,2,10,7,7,10,9,19,4,13,3,6
ENSG00000183801,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,1,1,0,2,0,0,0,1
ENSG00000166387,56,484,450,49,11,930,666,958,163,689,478,778,662,887.5,994.5,977.5,1018.5,1247.33,3094.5,781,1450.5,613,1310.5
ENSG00000166394,8,57,68,2,1,46,54,73,10,13,15,12,72,59.5,25,57,34,171.5,152,14,177.5,74,136
ENSG00000183378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
ENSG00000183303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
ENSG00000175393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
ENSG00000170683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000182261,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6
ENSG00000175390,549,2564,2801,90,40,6748,2409,6571,1223,2197,2039,1106,2849,6561.42,4386.45,5652.5,3882.17,8866.92,10107.32,1235.5,10624.53,4283.75,6488.58
ENSG00000166402,14,267,307,14,0,280,270,366,42,198,98,120,194,449,499,411,295,856,1189,145.5,1099,359,355
ENSG00000166405,3,11,16,4,2,20,14,33,7,16,12,6,25,60,81,55,39,111.5,243,100,92.5,40,96.5
ENSG00000166407,7,64,59,0,1,12,36,37,6,16,5,19,40,83,59,58,33,106,137,12,130,36,55
ENSG00000130413,17,80,110,2,0,98,122,183,33,43,28,16,176,169,146,151.5,80.5,197,233,34,407,157,289
ENSG00000166436,9,72,62,15,11,60,46,76,13,127,63,116,92,144,310,130,194.5,255,556,292,202,82,261
ENSG00000166441,2842,10454,11174,732,212,11248,10419,11133,2299,6576,4984,5026,9470,11181.4,9307.66,9617.28,6971,18035.43,21264.28,3735.25,19285.09,9484.83,11786.95
ENSG00000166444,20,260,272,14,4,211,215,337,57,136,69,136,406,629.5,653.5,416.5,364,613,1006.75,185.5,714,233,547
ENSG00000166452,43,388,424,8,4,876,448,988,142,403,342,238,402,1415.67,1098,1000.5,754.5,1904,2517,296,1831.33,754,1249
ENSG00000176029,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175348,70,257,301,18,5,779,300,825,121,495,304,156,287,1021.83,963,784,591,1854.67,2448.92,326,1763.33,631.83,804
ENSG00000175352,6,21,20,0,0,33,23,56,9,22,12,10,27,28,20,45,24,64,73,40,67.5,24,37
ENSG00000175356,2,7,8,0,2,16,9,16,2,19,5,4,10,24,25,22,23,51,54.25,27,24,16,17
ENSG00000184014,247,1682,1782,107,42,2949,1706,2706,547,2353,1314,1445,2038,3678,4393.67,3290.5,3189,5844,9724.67,2222.5,6110.67,2121.5,4425.92
ENSG00000166471,83,198,233,24,13,808,322,1188,164,320,302,163,330,1375,999,1317,999.5,1959.83,2764,399,2415,996.5,1340
ENSG00000205339,602,2661,3132,228,100,8131,4039,8001,1387,4264,3065,2191,3371,13666.92,11653.17,12525.25,9482.5,16513.58,23773.5,6458.42,21317,9167.83,17078.87
ENSG00000166478,41,171,210,19,7,487,274,600,123,356,297,270,368,601,676,525,492.5,671,1540.5,563,876,338.33,1086
ENSG00000166483,67,314,352,73,73,1187,386,1094,179,1430,1086,679,411,1442,2614,1328.5,2334,1527,4288,3167.5,1941,686,1063
ENSG00000133789,24,232,254,28,9,508,464,558,107,380,198,255,400,1183,848,989,894.5,1213.5,2165,577.5,2204,953.5,1947.17
ENSG00000133812,216,906,945,55,30,2132,1087,2117,338,1037,714,592,925,2345,2180.67,2399,1709,3958,5348.67,1079,4587.5,1624,2699.5
ENSG00000148926,74,636,612,128,134,1205,446,978,268,2944,2309,2246,697,1315,3523.5,1363,4717,2068,8152,7836,2166,828,2427.33
ENSG00000133805,6,89,105,4,3,45,79,126,18,77,36,67,178,106,122,78,104,145,384,72,332.5,121.2,281
ENSG00000255823,11,1,1,6,7,2,0,11,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
